Bias,Bias-val,Offense Type,Offense-val,Offender-race,Offender-val
Anti-Jewish,2445,Destruction/Damage/Vandalism of Property,2900,Unknown,2783
Anti-Black or African American,998,Simple Assault,2065,Multiple,1038
Anti-Gay (Male),711,Aggravated Assault,381,White,931
Anti-Islamic (Muslim),237,Intimidation,133,Black or African American,696
Anti-White,210,Burglary/Breaking & Entering,124,Asian,45
Anti-Other Race/Ethnicity/Ancestry,172,Larceny/Theft Offenses,97,American Indian or Alaska Native,11
Anti-Hispanic or Latino,153,Robbery,59,Native Hawaiian,0
Anti-Catholic,139,Arson,34,Not Reported,0
Anti-Lesbian (Female),112,Murder and Nonnegligent Manslaughter,12,,
Anti-Asian,110,Rape,6,,
Anti-Transgender,75,Sexual Assault With An Object,1,,
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",62,Theft From Building,1,,
Anti-Other Religion,45,All Other Larceny,0,,
"Anti-Multiple Races, Group",44,Assisting or Promoting Prostitution,0,,
"Anti-Multiple Religions, Group",38,Betting/Wagering,0,,
Anti-Arab,32,Bribery,0,,
Anti-Gender Non-Conforming,23,Counterfeiting/Forgery,0,,
Anti-Other Christian,14,Credit Card/Automated Teller Machine Fraud,0,,
Anti-Female,14,Drug/Narcotic Violations,0,,
Anti-Protestant,8,Drug Equipment Violations,0,,
Anti-Physical Disability,8,Embezzlement,0,,
Anti-Hindu,5,Extortion/Blackmail,0,,
Anti-Mental Disability,3,Fondling,0,,
Anti-American Indian or Alaska Native,3,False Pretenses/Swindle/Confidence Game,0,,
Anti-Male,2,Hacking/Computer Invasion,0,,
Anti-Buddhist,2,"Human Trafficking, Commercial Sex Acts",0,,
Anti-Bisexual,2,Identity Theft,0,,
Anti-Jehovahs Witness,2,Impersonation,0,,
Anti-Mormon,1,Incest,0,,
Anti-Heterosexual,1,Kidnapping/Abduction,0,,
"Anti-Eastern Orthodox (Russian, Greek, Other)",1,Motor Vehicle Theft,0,,
Multiple Bias,0,Negligent Manslaughter,0,,
Anti-Atheism/Agnosticism,0,Not Specified,0,,
Anti-Sikh,0,Pocket-picking,0,,
Anti-Native Hawaiian or Other Pacific Islander,0,Pornography/Obscene Material,0,,
,,Prostitution,0,,
,,Purchasing Prostitution,0,,
,,Purse-snatching,0,,
,,Shoplifting,0,,
,,Sodomy,0,,
,,Statutory Rape,0,,
,,Stolen Property Offenses,0,,
,,Theft From Coin-Operated Machine or Device,0,,
,,Theft From Motor Vehicle,0,,
,,Theft of Motor Vehicle Parts or Accessories,0,,
,,Weapon Law Violations,0,,
,,Welfare Fraud,0,,
,,Wire Fraud,0,,
,,Animal Cruelty,0,,